,Image,TruePositives,FalseNegatives,FalsePositives,Percision,Recall,PreProcessTruePositives,PreProcessFalseNegatives,PreProcessFalsePositives,PreProcessPercision,PreProcessRecall
32,M142_1015935949_0014_0036_Back.jpg,0,15,12,0.0,0.0,0,15,3,0.0,0.0
33,M142_1015935949_0009_0016_Back.jpg,13,15,20,0.3939393939393939,0.4642857142857143,14,14,5,0.7368421052631579,0.5
34,M142_1015935949_0036_0009_Back.jpg,0,40,251,0.0,0.0,2,38,220,0.009009009009009009,0.05
35,M142_1015935949_0008_0029_Back.jpg,2,30,42,0.045454545454545456,0.0625,5,27,56,0.08196721311475409,0.15625
36,M142_1015935949_0019_0003_Back.jpg,5,10,5,0.5,0.3333333333333333,5,10,5,0.5,0.3333333333333333
37,M142_1015935949_0020_0006_Back.jpg,0,5,0,,0.0,0,5,0,,0.0
38,M142_1015935949_0015_0010_Back.jpg,0,14,0,,0.0,0,14,0,,0.0
39,M142_1015935949_0027_0006_Back.jpg,0,23,82,0.0,0.0,0,23,14,0.0,0.0
40,M142_1015935949_0029_0070_Back.jpg,0,0,70,0.0,,0,0,59,0.0,
41,M142_1015935949_0030_0006_Back.jpg,0,0,30,0.0,,0,0,3,0.0,
42,M142_1015935949_0034_0089_Back.jpg,0,13,18,0.0,0.0,0,13,10,0.0,0.0
43,M142_1015935949_0029_0056_Back.jpg,6,35,6,0.5,0.14634146341463414,6,35,7,0.46153846153846156,0.14634146341463414
44,M142_1015935949_0001_0005_Back.jpg,0,16,0,,0.0,0,16,6,0.0,0.0
45,M142_1015935949_0004_0014_Back.jpg,0,0,234,0.0,,0,0,229,0.0,
46,M142_1015935949_0001_0092_Back.jpg,0,53,355,0.0,0.0,3,50,152,0.01935483870967742,0.05660377358490566
47,M142_1015935949_0016_0018_Back.jpg,2,11,103,0.01904761904761905,0.15384615384615385,3,10,33,0.08333333333333333,0.23076923076923078
48,M142_1015935949_0034_0029_Back.jpg,0,0,5,0.0,,0,0,0,,
49,M142_1015935949_0019_0001_Back.jpg,0,17,49,0.0,0.0,1,16,2,0.3333333333333333,0.058823529411764705
50,M142_1015935949_0008_0014_Back.jpg,0,24,5,0.0,0.0,0,24,0,,0.0
51,M142_1015935949_0026_0007_Back.jpg,0,24,35,0.0,0.0,1,23,135,0.007352941176470588,0.041666666666666664
52,M142_1015935949_0014_0001_Back.jpg,0,0,9,0.0,,0,0,37,0.0,
53,M142_1015935949_0027_0031_Back.jpg,8,13,9,0.47058823529411764,0.38095238095238093,12,9,14,0.46153846153846156,0.5714285714285714
54,M142_1015935949_0001_0036_Back.jpg,0,23,3,0.0,0.0,5,18,41,0.10869565217391304,0.21739130434782608
55,M142_1015935949_0036_0015_Back.jpg,5,14,129,0.03731343283582089,0.2631578947368421,2,17,28,0.06666666666666667,0.10526315789473684
56,M142_1015935949_0023_0032_Back.jpg,23,19,16,0.5897435897435898,0.5476190476190477,0,42,24,0.0,0.0
57,M142_1015935949_0002_0038_Back.jpg,1,17,14,0.06666666666666667,0.05555555555555555,0,18,0,,0.0
58,M142_1015935949_0002_0029_Back.jpg,4,52,191,0.020512820512820513,0.07142857142857142,1,55,27,0.03571428571428571,0.017857142857142856
59,M142_1015935949_0021_0004_Back.jpg,0,7,0,,0.0,0,7,0,,0.0
60,M142_1015935949_0015_0014_Back.jpg,0,21,0,,0.0,0,21,77,0.0,0.0
61,M142_1015935949_0021_0001_Back.jpg,12,27,9,0.5714285714285714,0.3076923076923077,17,22,5,0.7727272727272727,0.4358974358974359
